TA,0+54+61+62
TA194161,54
TA194162,54
TA194163,54
TA194164,54
TA194165,54
TA194166,54
TA194167,54
TA194168,54
TA194169,0+54
TA195160,54
TA195161,54
TA195162,54
TA195163,54
TA195164,54
TA195165,54
TA195166,54
TA195167,54
TA195168,0+54
TA195169,0+54
TA196160,54
TA196161,54
TA196162,54
TA196163,54
TA196164,54
TA196165,54
TA196166,54
TA196167,54
TA196168,0+54
TA197160,54
TA197161,54
TA197162,54
TA197163,54
TA197164,54
TA197165,54
TA197166,54
TA197167,0+54
TA197168,0+54
TA198160,54
TA198161,54
TA198162,54
TA198163,54
TA198164,54
TA198165,54
TA198166,54
TA198167,0+54
TA199160,54
TA199161,54
TA199162,54
TA199163,54
TA199164,0+54
TA199165,0+54
TA199166,0+54
TA199167,0+54
TA1917,0+54
TA190170,54
TA190171,54
TA190172,54
TA190173,0+54
TA190174,0+54
TA191170,54
TA191171,54
TA191172,0+54
TA191173,0+54
TA192170,54
TA192171,0+54
TA192172,0+54
TA193170,0+54
TA193171,0+54
TA194170,0+54
TA11Z,0+54
TA1818,0+54
TA180180,54
TA180181,54
TA180182,54
TA180183,54
TA180184,0+54
TA180185,0+54
TA181180,54
TA181181,54
TA181182,54
TA181183,0+54
TA181184,0+54
TA182180,54
TA182181,54
TA182182,0+54
TA182183,0+54
TA183180,54
TA183181,0+54
TA183182,0+54
TA184180,0+54
TA184181,0+54
TA185180,0+54
TA12,0+54+61
TA12SW,0+54
TA12NW,0+54+61
TA12SE,0+54+61
TA12A,54
TA12B,54
TA12C,0+54
TA1024,54
TA1025,0+54
TA100250,54
TA100251,54
TA100252,0+54
TA100253,0+54
TA101250,54
TA101251,54
TA101252,0+54
TA101253,0+54
TA102250,54
TA102251,54
TA102252,0+54
TA102253,0+54
TA103250,54
TA103251,54
TA103252,54
TA103253,0+54
TA104250,54
TA104251,54
TA104252,54
TA104253,0+54
TA105250,54
TA105251,54
TA105252,54
TA105253,0+54
TA105254,0+54
TA106250,54
TA106251,54
TA106252,54
TA106253,54
TA106254,0+54
TA107250,54
TA107251,54
TA107252,54
TA107253,54
TA107254,0+54
TA108250,54
TA108251,54
TA108252,54
TA108253,54
TA108254,0+54
TA109250,54
TA109251,54
TA109252,54
TA109253,54
TA109254,0+54
TA109255,0+54
TA1124,54
TA1125,0+54
TA110250,54
TA110251,54
TA110252,54
TA110253,54
TA110254,54
TA110255,0+54
TA111250,54
TA111251,54
TA111252,54
TA111253,54
TA111254,54
TA111255,0+54
TA112250,54
TA112251,54
TA112252,54
TA112253,54
TA112254,54
TA112255,0+54
TA113250,54
TA113251,54
TA113252,54
TA113253,54
TA113254,54
TA113255,0+54
TA114250,54
TA114251,54
TA114252,54
TA114253,54
TA114254,54
TA114255,0+54
TA115250,54
TA115251,54
TA115252,54
TA115253,54
TA115254,54
TA115255,0+54
TA115256,0+54
TA116250,54
TA116251,54
TA116252,54
TA116253,54
TA116254,54
TA116255,54
TA116256,0+54
TA117250,54
TA117251,54
TA117252,54
TA117253,54
TA117254,54
TA117255,54
TA117256,0+54
TA118250,54
TA118251,54
TA118252,54
TA118253,54
TA118254,54
TA118255,54
TA118256,0+54
TA119250,54
TA119251,54
TA119252,54
TA119253,54
TA119254,54
TA119255,54
TA119256,0+54
TA12F,54
TA12G,54
TA12H,0+54
TA1224,54
TA1225,0+54
TA120250,54
TA120251,54
TA120252,54
TA120253,54
TA120254,54
TA120255,54
TA120256,0+54
TA121250,54
TA121251,54
TA121252,54
TA121253,54
TA121254,54
TA121255,54
TA121256,0+54
TA121257,0+54
TA122250,54
TA122251,54
TA122252,54
TA122253,54
TA122254,54
TA122255,54
TA122256,54
TA122257,0+54
TA123250,54
TA123251,54
TA123252,54
TA123253,54
