TL,0+18+19+20+21+24+26+28+29+30+31+32
TL0779,31+32
TL071790,31+32
TL072790,31+32
TL072791,31+32
TL073790,31
TL073791,31+32
TL074790,31
TL074791,31+32
TL074792,31+32
TL075790,31
TL075791,31
TL075792,31+32
TL075793,31+32
TL075797,31+32
TL075798,31+32
TL075799,31+32
TL076790,31
TL076791,31
TL076792,31
TL076793,31+32
TL076794,31+32
TL076796,31+32
TL076797,31+32
TL076798,31
TL076799,31+32
TL077790,31
TL077791,31
TL077792,31
TL077793,31
TL077794,31+32
TL077795,31+32
TL077796,31+32
TL077797,31
TL077798,31
TL077799,31
TL078790,31
TL078791,31
TL078792,31
TL078793,31
TL078794,31
TL078795,31+32
TL078796,31+32
TL078797,31
TL078798,31
TL078799,31
TL079790,31
TL079791,31
TL079792,31
TL079793,31
TL079794,31
TL079795,31
TL079796,31
TL079797,31
TL079798,31
TL079799,31
TL07V,30+31
TL0870,30+31
TL086700,30+31
TL086701,30+31
TL086702,30+31
TL086703,30+31
TL087700,31
TL087701,31
TL087702,31
TL087703,30+31
TL087704,30+31
TL088700,31
TL088701,31
TL088702,31
TL088703,31
TL088704,30+31
TL088705,30+31
TL089700,31
TL089701,31
TL089702,31
TL089703,31
TL089704,31
TL089705,30+31
TL089706,30+31
TL0871,30+31
TL080712,30+31
TL080713,31
TL080714,31
TL080715,31
TL080716,31
TL080717,31
TL080718,31
TL080719,31
TL081712,30+31
TL081713,30+31
TL081714,31
TL081715,31
TL081716,31
TL081717,31
TL081718,31
TL081719,31
TL082713,30+31
TL082714,30+31
TL082715,30+31
TL082716,31
TL082717,31
TL082718,31
TL082719,31
TL083715,30+31
TL083716,30+31
TL083717,31
TL083718,31
TL083719,31
TL084715,30+31
TL084716,30+31
TL084717,31
TL084718,31
TL084719,31
TL085715,30+31
TL085716,30+31
TL085717,31
TL085718,31
TL085719,31
TL086716,30+31
TL086717,30+31
TL086718,31
TL086719,31
TL087717,30+31
TL087718,30+31
TL087719,31
TL088718,30+31
TL088719,30+31
TL089719,30+31
TL0970,30+31
TL090700,31
TL090701,31
TL090702,31
TL090703,31
TL090704,31
TL090705,31
TL090706,30+31
TL090707,30+31
TL091700,31
TL091701,31
TL091702,31
TL091703,31
TL091704,31
TL091705,31
TL091706,31
TL091707,30+31
TL091708,30+31
TL092700,31
TL092701,31
TL092702,31
TL092703,31
TL092704,31
TL092705,31
TL092706,31
