NU,0+67+68
NU031482,68
NU031483,68
NU031484,0+68
NU031485,0+68
NU032480,68
NU032481,68
NU032482,68
NU032483,0+68
NU032484,0+68
NU033480,68
NU033481,68
NU033482,0+68
NU033483,0+68
NU034480,68
NU034481,68
NU034482,0+68
NU035480,0+68
NU035481,0+68
NU035482,0+68
NU036480,0+68
NU04K,68
NU04L,68
NU04M,68
NU04N,0+68
NU0446,0+68
NU040460,68
NU040461,68
NU040462,68
NU040463,68
NU040464,68
NU040465,68
NU040466,68
NU040467,68
NU040468,68
NU040469,68
NU041460,68
NU041461,68
NU041462,68
NU041463,68
NU041464,68
NU041465,68
NU041466,68
NU041467,68
NU041468,68
NU041469,68
NU042460,68
NU042461,68
NU042462,68
NU042463,68
NU042464,68
NU042465,68
NU042466,68
NU042467,68
NU042468,68
NU042469,68
NU043460,68
NU043461,68
NU043462,68
NU043463,68
NU043464,68
NU043465,68
NU043466,68
NU043467,68
NU043468,68
NU043469,68
NU044460,68
NU044461,68
NU044462,68
NU044463,68
NU044464,68
NU044465,68
NU044466,68
NU044467,68
NU044468,68
NU044469,68
NU045460,68
NU045461,68
NU045462,68
NU045463,68
NU045464,68
NU045465,68
NU045466,68
NU045467,68
NU045468,68
NU045469,68
NU046460,68
NU046461,68
NU046462,68
NU046463,68
NU046464,68
NU046465,68
NU046466,68
NU046467,68
NU046468,68
NU046469,0+68
NU047460,68
NU047461,68
NU047462,68
NU047463,68
NU047464,68
NU047465,68
NU047466,68
NU047467,68
NU047468,68
NU047469,0+68
NU048460,68
NU048461,68
NU048462,68
NU048463,68
NU048464,68
NU048465,68
NU048466,68
NU048467,0+68
NU048468,0+68
NU048469,0+68
NU049460,68
NU049461,68
NU049462,68
NU049463,68
NU049464,68
NU049465,68
NU049466,68
NU049467,0+68
NU049468,0+68
NU0447,0+68
NU040470,68
NU040471,68
NU040472,68
NU040473,68
NU040474,0+68
NU040475,0+68
NU041470,68
NU041471,68
NU041472,68
NU041473,0+68
NU041474,0+68
NU042470,68
NU042471,68
NU042472,0+68
NU042473,0+68
NU043470,68
NU043471,68
NU043472,0+68
NU044470,68
NU044471,0+68
NU044472,0+68
NU045470,0+68
NU045471,0+68
NU046470,0+68
NU0546,0+68
NU050460,68
NU050461,68
NU050462,68
NU050463,68
NU050464,68
NU050465,68
NU050466,68
NU050467,0+68
NU051460,68
NU051461,68
NU051462,68
NU051463,68
NU051464,68
NU051465,0+68
NU051466,0+68
NU051467,0+68
NU052460,68
NU052461,68
NU052462,68
NU052463,68
NU052464,68
NU052465,68
NU052466,0+68
NU053460,68
NU053461,68
NU053462,68
NU053463,68
NU053464,68
NU053465,0+68
NU053466,0+68
NU054460,68
NU054461,68
NU054462,68
NU054463,68
NU054464,0+68
NU054465,0+68
NU055460,68
NU055461,68
NU055462,68
NU055463,68
NU055464,0+68
NU056460,68
NU056461,68
NU056462,68
NU056463,0+68
NU056464,0+68
NU057460,68
NU057461,68
NU057462,68
NU057463,0+68
NU058460,68
NU058461,68
NU058462,0+68
NU058463,0+68
NU059460,68
NU059461,68
NU059462,0+68
NU04Q,68
NU04R,0+68
NU0642,68
NU0643,68
NU0742,68
NU0743,0+68
NU070430,68
NU070431,68
NU070432,68
NU070433,68
NU070434,68
NU070435,68
NU070436,68
NU070437,68
NU070438,68
NU070439,68
NU071430,68
NU071431,68
NU071432,68
NU071433,68
NU071434,68
NU071435,68
NU071436,68
NU071437,68
NU071438,68
NU071439,68
NU072430,68
NU072431,68
NU072432,68
NU072433,68
NU072434,0+68
NU072435,0+68
NU072436,68
NU072437,68
NU072438,68
NU072439,68
NU073430,68
NU073431,68
NU073432,68
NU073433,68
NU073434,0+68
NU073435,0+68
NU073436,68
NU073437,68
NU073438,68
NU073439,68
NU074430,68
NU074431,68
NU074432,68
NU074433,68
NU074434,0+68
NU074435,0+68
NU074436,68
NU074437,68
NU074438,68
NU074439,68
NU075430,68
NU075431,68
NU075432,68
NU075433,68
NU075434,0+68
NU075435,68
NU075436,68
NU075437,68
NU075438,68
NU075439,68
NU076430,68
NU076431,68
NU076432,68
NU076433,68
NU076434,0+68
NU076435,68
NU076436,68
NU076437,68
NU076438,68
NU076439,68
NU077430,68
NU077431,68
NU077432,68
NU077433,68
NU077434,0+68
NU077435,68
NU077436,68
NU077437,68
NU077438,68
NU077439,68
NU078430,68
NU078431,68
NU078432,68
NU078433,0+68
NU078434,0+68
NU078435,68
NU078436,68
NU078437,68
NU078438,68
NU078439,68
NU079430,68
NU079431,68
NU079432,68
NU079433,0+68
NU079434,0+68
NU079435,68
NU079436,68
NU079437,68
NU079438,68
NU079439,68
NU04S,0+68
NU0644,68
NU0645,0+68
NU060450,68
NU060451,68
NU060452,68
NU060453,68
NU060454,68
NU060455,68
NU060456,68
NU060457,68
NU060458,68
NU060459,68
NU061450,68
NU061451,68
NU061452,68
NU061453,68
NU061454,68
NU061455,68
NU061456,68
NU061457,68
NU061458,68
NU061459,68
NU062450,68
NU062451,68
NU062452,68
NU062453,68
NU062454,68
NU062455,68
NU062456,68
NU062457,68
NU062458,68
NU062459,0+68
NU063450,68
NU063451,68
NU063452,68
NU063453,68
NU063454,68
NU063455,68
NU063456,68
NU063457,68
NU063458,68
NU063459,0+68
NU064450,68
NU064451,68
NU064452,68
NU064453,68
NU064454,68
NU064455,68
NU064456,68
NU064457,68
NU064458,68
NU064459,0+68
NU065450,68
NU065451,68
NU065452,68
NU065453,68
NU065454,68
NU065455,68
NU065456,68
NU065457,68
NU065458,0+68
NU065459,0+68
NU066450,68
NU066451,68
NU066452,68
NU066453,68
NU066454,68
NU066455,68
NU066456,68
NU066457,68
NU066458,0+68
NU066459,0+68
NU067450,68
NU067451,68
NU067452,68
NU067453,68
NU067454,68
NU067455,68
NU067456,68
NU067457,68
NU067458,0+68
NU067459,0+68
NU068450,68
NU068451,68
NU068452,68
NU068453,68
NU068454,68
NU068455,68
NU068456,68
NU068457,68
NU068458,0+68
NU069450,68
NU069451,68
NU069452,68
NU069453,68
NU069454,68
NU069455,68
NU069456,68
NU069457,0+68
NU069458,0+68
NU0744,68
NU0745,0+68
NU070450,68
NU070451,68
NU070452,68
NU070453,68
NU070454,68
NU070455,68
NU070456,68
NU070457,0+68
NU071450,68
NU071451,68
NU071452,68
NU071453,68
NU071454,68
NU071455,68
NU071456,68
NU071457,0+68
NU072450,68
NU072451,68
NU072452,68
NU072453,68
NU072454,68
NU072455,68
NU072456,0+68
NU073450,68
NU073451,68
NU073452,68
NU073453,68
NU073454,68
NU073455,68
NU073456,0+68
NU074450,68
NU074451,68
NU074452,68
NU074453,68
NU074454,68
NU074455,68
NU074456,0+68
NU075450,68
NU075451,68
NU075452,68
NU075453,68
NU075454,68
NU075455,0+68
NU075456,0+68
NU076450,68
NU076451,68
NU076452,68
NU076453,68
NU076454,68
NU076455,0+68
NU077450,68
NU077451,68
NU077452,68
NU077453,68
NU077454,68
NU077455,0+68
NU078450,68
NU078451,68
NU078452,68
NU078453,0+68
NU078454,0+68
NU078455,0+68
NU079450,68
NU079451,68
NU079452,68
NU079453,68
NU079454,0+68
NU04T,0+68
NU0646,0+68
NU060460,68
NU060461,0+68
NU060462,0+68
NU061460,68
NU061461,0+68
NU062460,0+68
NU062461,0+68
NU04V,0+68
NU0840,68
NU0841,0+68
NU080410,68
NU080411,68
NU080412,68
NU080413,68
NU080414,68
NU080415,68
NU080416,68
NU080417,68
NU080418,68
NU080419,68
NU081410,68
NU081411,68
NU081412,68
NU081413,68
NU081414,68
NU081415,68
NU081416,68
NU081417,68
NU081418,68
NU081419,68
NU082410,68
NU082411,68
NU082412,68
NU082413,0+68
NU082414,0+68
NU082415,68
NU082416,68
NU082417,68
NU082418,68
NU082419,68
NU083410,68
NU083411,68
NU083412,68
NU083413,0+68
NU083414,0+68
NU083415,68
NU083416,68
NU083417,68
NU083418,68
NU083419,68
NU084410,68
NU084411,68
NU084412,68
NU084413,0+68
NU084414,68
NU084415,68
NU084416,68
NU084417,68
NU084418,68
NU084419,68
NU085410,68
NU085411,68
NU085412,68
NU085413,0+68
NU085414,68
NU085415,68
NU085416,68
NU085417,68
NU085418,68
NU085419,68
NU086410,68
NU086411,68
NU086412,68
NU086413,0+68
NU086414,68
NU086415,68
NU086416,68
NU086417,68
NU086418,68
NU086419,68
NU087410,68
NU087411,68
NU087412,68
NU087413,0+68
NU087414,68
NU087415,68
NU087416,68
NU087417,68
NU087418,68
NU087419,68
NU088410,68
NU088411,68
NU088412,68
NU088413,0+68
NU088414,68
NU088415,68
NU088416,68
NU088417,68
NU088418,68
NU088419,68
NU089410,68
NU089411,68
NU089412,68
NU089413,0+68
NU089414,0+68
NU089415,0+68
NU089416,68
NU089417,68
NU089418,0+68
NU089419,0+68
NU0940,68
NU0941,0+68
NU090410,68
NU090411,68
NU090412,68
NU090413,0+68
NU090414,0+68
NU090415,0+68
NU090416,68
NU090417,68
NU090418,0+68
NU090419,0+68
NU091410,68
NU091411,68
NU091412,68
NU091413,68
NU091414,0+68
NU091415,68
NU091416,68
NU091417,68
NU091418,0+68
NU091419,0+68
NU092410,68
NU092411,68
NU092412,68
NU092413,68
NU092414,0+68
NU092415,68
NU092416,68
NU092417,68
NU092418,0+68
NU092419,0+68
NU093410,68
