NT,0+67+68+72+77+78+79+80+81+82+83+84+85+87
NT193187,78+79
NT193188,78+79
NT193189,78+79
NT194180,79
NT194181,79
NT194182,79
NT194183,79
NT194184,79
NT194185,79
NT194186,79
NT194187,79
NT194188,79
NT194189,78+79
NT195180,79
NT195181,79
NT195182,79
NT195183,79
NT195184,79
NT195185,79
NT195186,79
NT195187,79
NT195188,79
NT195189,79
NT196180,79
NT196181,79
NT196182,79
NT196183,79
NT196184,79
NT196185,79
NT196186,79
NT196187,79
NT196188,79
NT196189,79
NT197180,79
NT197181,79
NT197182,79
NT197183,79
NT197184,79
NT197185,79
NT197186,79
NT197187,79
NT197188,79
NT197189,79
NT198180,79
NT198181,79
NT198182,79
NT198183,79
NT198184,79
NT198185,79
NT198186,79
NT198187,79
NT198188,79
NT198189,79
NT199180,79
NT199181,79
NT199182,79
NT199183,79
NT199184,79
NT199185,79
NT199186,79
NT199187,79
NT199188,79
NT199189,79
NT1919,78+79
NT194190,78+79
NT195190,78+79
NT196190,78+79
NT196191,78+79
NT197190,79
NT197191,78+79
NT197192,78+79
NT197193,78+79
NT198190,79
NT198191,79
NT198192,79
NT198193,78+79
NT198194,78+79
NT199190,79
NT199191,79
NT199192,79
NT199193,79
NT199194,78+79
NT199195,78+79
NT199196,78+79
NT20,72+79+80
NT20NW,72+79
NT20NE,72+79+80
NT20E,72+79
NT2008,72+79
NT200082,72+79
NT200083,72+79
NT200084,79
NT200085,79
NT200086,79
NT200087,79
NT200088,79
NT200089,79
NT201083,72+79
NT201084,79
NT201085,79
NT201086,79
NT201087,79
NT201088,79
NT201089,79
NT202083,72+79
NT202084,79
NT202085,79
NT202086,79
NT202087,79
NT202088,79
NT202089,79
NT203083,72+79
NT203084,79
NT203085,79
NT203086,79
NT203087,79
NT203088,79
NT203089,79
NT204083,72+79
NT204084,79
NT204085,79
NT204086,79
NT204087,79
NT204088,79
NT204089,79
NT205083,72+79
NT205084,79
NT205085,79
NT205086,79
NT205087,79
NT205088,79
NT205089,79
NT206083,72+79
NT206084,72+79
NT206085,79
NT206086,79
NT206087,79
NT206088,79
NT206089,79
NT207084,72+79
NT207085,72+79
NT207086,79
NT207087,79
NT207088,79
NT207089,79
NT208085,72+79
NT208086,72+79
NT208087,79
NT208088,79
NT208089,79
NT209086,72+79
NT209087,72+79
NT209088,72+79
NT209089,79
NT2009,79
NT2108,72+79
NT210088,72+79
NT210089,79
NT211088,72+79
NT211089,72+79
NT212088,72+79
NT212089,72+79
NT213087,72+79
NT213088,72+79
NT213089,79
NT214088,72+79
NT214089,79
NT215088,72+79
NT215089,79
NT216087,72+79
NT216088,72+79
NT216089,79
NT217087,72+79
NT217088,79
NT217089,79
NT218087,72+79
NT218088,72+79
NT218089,72+79
NT2109,72+79
NT210090,79
NT210091,79
NT210092,79
NT210093,79
NT210094,79
NT210095,79
NT210096,79
NT210097,79
NT210098,79
NT210099,79
NT211090,79
NT211091,79
NT211092,79
NT211093,79
NT211094,79
NT211095,79
NT211096,79
NT211097,79
NT211098,79
NT211099,79
NT212090,79
NT212091,79
NT212092,79
NT212093,79
NT212094,79
NT212095,79
NT212096,79
NT212097,79
NT212098,79
NT212099,79
NT213090,79
NT213091,79
NT213092,79
NT213093,79
NT213094,79
NT213095,79
NT213096,79
NT213097,79
NT213098,79
NT213099,79
NT214090,79
NT214091,79
NT214092,79
NT214093,79
NT214094,79
NT214095,79
NT214096,79
NT214097,79
NT214098,79
NT214099,79
NT215090,79
NT215091,79
NT215092,79
NT215093,79
NT215094,79
NT215095,79
NT215096,79
NT215097,79
NT215098,79
NT215099,79
NT216090,79
NT216091,79
NT216092,79
NT216093,79
NT216094,79
NT216095,79
NT216096,79
NT216097,79
NT216098,79
NT216099,79
NT217090,79
NT217091,79
NT217092,79
NT217093,79
NT217094,79
NT217095,79
NT217096,79
NT217097,79
NT217098,79
NT217099,79
NT218090,72+79
NT218091,79
NT218092,79
NT218093,79
NT218094,79
NT218095,79
NT218096,79
NT218097,79
NT218098,79
NT218099,79
NT219090,72+79
NT219091,72+79
NT219092,79
NT219093,79
NT219094,79
NT219095,79
NT219096,79
NT219097,79
NT219098,79
NT219099,79
NT20J,72+79
NT2209,72+79
NT220091,72+79
NT220092,72+79
NT220093,79
NT220094,79
NT220095,79
NT220096,79
NT220097,79
NT220098,79
NT220099,79
NT221092,72+79
NT221093,72+79
NT221094,79
NT221095,79
NT221096,79
NT221097,79
NT221098,79
NT221099,79
NT222093,72+79
NT222094,79
NT222095,79
NT222096,79
NT222097,79
NT222098,79
NT222099,79
NT223093,72+79
NT223094,79
NT223095,79
NT223096,79
NT223097,79
NT223098,79
NT223099,79
NT224093,72+79
NT224094,72+79
NT224095,72+79
NT224096,72+79
NT224097,72+79
NT224098,79
NT224099,79
NT225097,72+79
NT225098,72+79
NT225099,79
NT226098,72+79
NT226099,79
NT227098,72+79
NT227099,79
NT228098,72+79
NT228099,79
NT229097,72+79
NT229098,72+79
NT229099,79
NT2308,72+79
NT236087,72+79
NT236088,72+79
NT236089,72+79
NT237086,72+79
NT237087,72+79
NT237088,79
NT237089,79
NT238086,72+79
NT238087,79
NT238088,79
NT238089,79
NT239086,72+79
NT239087,79
NT239088,79
NT239089,79
NT2309,72+79
NT230094,72+79
NT230095,72+79
NT230096,72+79
NT230097,72+79
NT230098,79
NT230099,79
NT231094,72+79
NT231095,79
NT231096,79
NT231097,79
NT231098,79
NT231099,79
NT232093,72+79
NT232094,72+79
NT232095,79
NT232096,79
NT232097,79
NT232098,79
NT232099,79
NT233091,72+79
NT233092,72+79
NT233093,72+79
NT233094,79
NT233095,79
NT233096,79
NT233097,79
NT233098,79
NT233099,79
NT234091,72+79
NT234092,79
NT234093,79
NT234094,79
NT234095,79
NT234096,79
NT234097,79
NT234098,79
NT234099,79
NT235090,72+79
NT235091,72+79
NT235092,79
NT235093,79
NT235094,79
NT235095,79
NT235096,79
NT235097,79
NT235098,79
NT235099,79
NT236090,72+79
NT236091,79
NT236092,79
NT236093,79
NT236094,79
NT236095,79
NT236096,79
NT236097,79
NT236098,79
NT236099,79
NT237090,79
NT237091,79
NT237092,79
NT237093,79
NT237094,79
NT237095,79
NT237096,79
NT237097,79
NT237098,79
NT237099,79
NT238090,79
NT238091,79
NT238092,79
NT238093,79
NT238094,79
NT238095,79
NT238096,79
NT238097,79
NT238098,79
NT238099,79
NT239090,79
NT239091,79
NT239092,79
NT239093,79
NT239094,79
NT239095,79
NT239096,79
NT239097,79
NT239098,79
NT239099,79
NT20N,72+79
NT2506,72+79
NT253069,72+79
NT254068,72+79
NT254069,72+79
NT255065,72+79
NT255066,72+79
NT255067,72+79
NT255068,72+79
NT255069,79
NT256064,72+79
NT256065,72+79
NT256066,79
NT256067,79
NT256068,79
NT256069,79
