NO,0+85+87+88+89+90+91+92
NO00,85+87+88
NO00SW,85+87
NO00NW,85+87+88
NO00SE,85+87
NO00NE,85+88
NO026076,88
NO026077,88
NO026078,88
NO026079,88
NO027070,85+87
NO027071,85+87
NO027072,85+87
NO027073,85+87+88
NO027074,85+87+88
NO027075,88
NO027076,88
NO027077,88
NO027078,88
NO027079,88
NO028070,85+87
NO028071,85
NO028072,85
NO028073,85
NO028074,85+88
NO028075,88
NO028076,88
NO028077,88
NO028078,88
NO028079,88
NO029070,85+87
NO029071,85
NO029072,85
NO029073,85
NO029074,85+88
NO029075,85+88
NO029076,88
NO029077,88
NO029078,88
NO029079,88
NO0306,85+87
NO030060,85
NO030061,85
NO030062,85
NO030063,85
NO030064,85
NO030065,85
NO030066,85
NO030067,85+87
NO030068,87
NO030069,85+87
NO031060,85
NO031061,85
NO031062,85
NO031063,85
NO031064,85
NO031065,85
NO031066,85
NO031067,85+87
NO031068,85+87
NO031069,85+87
NO032060,85+87
NO032061,85+87
NO032062,85+87
NO032063,85+87
NO032064,85+87
NO032065,85+87
NO032066,85+87
NO032067,85+87
NO032068,85+87
NO032069,85
NO033060,85+87
NO033061,87
NO033062,87
NO033063,87
NO033064,87
NO033065,85+87
NO033066,87
NO033067,85+87
NO033068,85+87
NO033069,85
NO034060,87
NO034061,87
