ST,0+3+4+5+6+7+8+9+33+34+35+41
ST055150,3
ST055151,3
ST055152,3
ST055153,3
ST055154,3
ST055155,3
ST055156,3
ST055157,3+4
ST055158,3+4
ST055159,4
ST056150,3
ST056151,3
ST056152,3
ST056153,3
ST056154,3
ST056155,3
ST056156,3
ST056157,3
ST056158,3+4
ST056159,3+4
ST057150,3
ST057151,3
ST057152,3
ST057153,3
ST057154,3
ST057155,3
ST057156,3
ST057157,3
ST057158,3
ST057159,3+4
ST058150,3
ST058151,3
ST058152,3
ST058153,3
ST058154,3
ST058155,3
ST058156,3
ST058157,3
ST058158,3
ST058159,3
ST059150,3
ST059151,3
ST059152,3
ST059153,3
ST059154,3
ST059155,3
ST059156,3
ST059157,3
ST059158,3
ST059159,3
ST01N,3+4
ST0416,4
ST0417,4
ST0516,3+4
ST050160,4
ST050161,4
ST050162,4
ST050163,4
ST050164,4
ST050165,4
ST050166,4
ST050167,4
ST050168,4
ST050169,4
ST051160,4
ST051161,4
ST051162,4
ST051163,4
ST051164,4
ST051165,4
ST051166,4
ST051167,4
ST051168,4
ST051169,4
ST052160,4
ST052161,4
ST052162,4
ST052163,4
ST052164,4
ST052165,4
ST052166,4
ST052167,4
ST052168,4
ST052169,4
ST053160,4
ST053161,4
ST053162,4
ST053163,4
ST053164,4
ST053165,4
ST053166,4
ST053167,4
ST053168,4
ST053169,4
ST054160,4
ST054161,4
ST054162,4
ST054163,4
ST054164,4
ST054165,4
ST054166,4
ST054167,4
ST054168,4
ST054169,4
ST055160,4
ST055161,4
ST055162,4
ST055163,4
ST055164,4
ST055165,4
ST055166,4
ST055167,4
ST055168,4
ST055169,4
ST056160,4
ST056161,4
ST056162,4
ST056163,4
ST056164,4
ST056165,4
ST056166,4
ST056167,4
ST056168,4
ST056169,4
ST057160,3+4
ST057161,4
ST057162,4
ST057163,4
ST057164,4
ST057165,4
ST057166,4
ST057167,4
ST057168,4
ST057169,4
ST058160,3+4
ST058161,3+4
ST058162,4
ST058163,4
ST058164,4
ST058165,4
ST058166,4
ST058167,4
ST058168,4
ST058169,4
ST059160,3
ST059161,3+4
ST059162,3+4
ST059163,3+4
ST059164,4
ST059165,4
ST059166,4
ST059167,4
ST059168,4
ST059169,4
ST0517,4
ST01P,4
ST01Q,3
ST01R,3
ST01S,3
ST01T,3+4
ST0616,3+4
ST060160,3
ST060161,3
ST060162,3
ST060163,3+4
ST060164,4
ST060165,4
ST060166,4
ST060167,4
ST060168,4
ST060169,4
ST061160,3
ST061161,3
ST061162,3
ST061163,3+4
ST061164,3+4
ST061165,4
ST061166,4
ST061167,4
ST061168,4
ST061169,4
ST062160,3
ST062161,3
ST062162,3
ST062163,3
ST062164,3+4
ST062165,4
ST062166,4
ST062167,4
ST062168,4
ST062169,4
ST063160,3
ST063161,3
ST063162,3
ST063163,3+4
ST063164,3+4
ST063165,4
ST063166,4
ST063167,4
ST063168,4
ST063169,4
ST064160,3
ST064161,3
ST064162,3
ST064163,3+4
ST064164,4
ST064165,4
ST064166,4
ST064167,4
ST064168,4
ST064169,4
ST065160,3
ST065161,3
ST065162,3
ST065163,3+4
ST065164,4
ST065165,4
ST065166,4
ST065167,4
ST065168,4
ST065169,4
ST066160,3
ST066161,3
ST066162,3
ST066163,3+4
ST066164,4
ST066165,4
ST066166,4
ST066167,4
ST066168,4
ST066169,4
ST067160,3
ST067161,3
ST067162,3
ST067163,3+4
ST067164,3+4
ST067165,4
ST067166,4
ST067167,4
ST067168,4
ST067169,4
ST068160,3
ST068161,3
ST068162,3
ST068163,3
ST068164,3+4
ST068165,3+4
ST068166,3+4
ST068167,3+4
ST068168,3+4
ST068169,4
ST069160,3
ST069161,3
ST069162,3
ST069163,3
ST069164,3
ST069165,3
ST069166,3
ST069167,3
ST069168,3+4
ST069169,3+4
ST0617,3+4
ST060170,4
ST060171,4
ST060172,4
ST060173,4
ST060174,4
ST060175,4
ST060176,4
ST060177,4
ST060178,4
ST060179,4
ST061170,4
ST061171,4
ST061172,4
ST061173,4
ST061174,4
ST061175,4
ST061176,4
ST061177,4
ST061178,4
ST061179,4
ST062170,4
ST062171,4
ST062172,4
ST062173,4
ST062174,4
ST062175,4
ST062176,4
ST062177,4
ST062178,4
ST062179,4
ST063170,4
ST063171,4
ST063172,4
ST063173,4
ST063174,4
ST063175,4
ST063176,4
ST063177,4
ST063178,4
ST063179,4
ST064170,4
ST064171,4
ST064172,4
ST064173,4
ST064174,4
ST064175,4
ST064176,4
ST064177,4
ST064178,4
ST064179,4
ST065170,4
