NG,0+97+104+105+110
NG017808,0
NG017809,0
NG018800,110
NG018801,110
NG018802,0+110
NG018803,0
NG018804,0
NG018805,0
NG018806,0
NG018807,0
NG018808,0
NG018809,0
NG019800,110
NG019801,0+110
NG019802,0+110
NG019803,0
NG019804,0
NG019805,0
NG019806,0
NG019807,0
NG019808,0
NG019809,0
NG0181,0+110
NG010810,0
NG010811,0
NG010812,0
NG010813,0
NG010814,0
NG010815,0
NG010816,0
NG010817,0
NG010818,0
NG010819,0
NG011810,0
NG011811,0
NG011812,0
NG011813,0
NG011814,0
NG011815,0
NG011816,0
NG011817,0+110
NG011818,0+110
NG011819,0+110
NG012810,0
NG012811,0
NG012812,0
NG012813,0+110
NG012814,0+110
NG012815,0+110
NG012816,0+110
NG012817,0+110
NG012818,0+110
NG012819,0+110
NG013810,0
NG013811,0
NG013812,0+110
NG013813,0+110
NG013814,0+110
NG013815,0+110
NG013816,0+110
NG013817,0
NG013818,0
NG013819,0
NG014810,0
NG014811,0
NG014812,0+110
NG014813,0+110
NG014814,0+110
NG014815,0
NG014816,0
NG014817,0
NG014818,0
NG014819,0
NG015810,0
NG015811,0
NG015812,0
NG015813,0
NG015814,0
NG015815,0
NG015816,0
NG015817,0
NG015818,0
NG015819,0
NG016810,0
NG016811,0
NG016812,0
NG016813,0
NG016814,0
NG016815,0
NG016816,0
NG016817,0
NG016818,0
NG016819,0
NG017810,0
NG017811,0
NG017812,0
NG017813,0+110
NG017814,0+110
NG017815,0+110
NG017816,0+110
NG017817,0
NG017818,0
NG017819,0
NG018810,0
NG018811,0
NG018812,0+110
NG018813,0+110
NG018814,0+110
NG018815,0+110
NG018816,0+110
NG018817,0
NG018818,0
NG018819,0
NG019810,0
NG019811,0+110
NG019812,0
NG019813,0+110
NG019814,0+110
NG019815,0
NG019816,0
NG019817,0
NG019818,0
NG019819,0
NG08B,0+110
NG0082,0
NG0083,0
NG0182,0+110
NG010820,0
NG010821,0
NG010822,0
NG010823,0
NG010824,0
NG010825,0
NG010826,0
NG010827,0
NG010828,0
NG010829,0
NG011820,0
NG011821,0
NG011822,0
NG011823,0
NG011824,0
NG011825,0
NG011826,0
NG011827,0
NG011828,0
NG011829,0
NG012820,0
NG012821,0
NG012822,0
NG012823,0
NG012824,0
NG012825,0
NG012826,0
NG012827,0
NG012828,0
NG012829,0
NG013820,0
NG013821,0
NG013822,0
NG013823,0
NG013824,0
NG013825,0
NG013826,0+110
NG013827,0+110
NG013828,0+110
NG013829,0
NG014820,0
NG014821,0
NG014822,0
NG014823,0
NG014824,0
NG014825,0
NG014826,0+110
NG014827,0+110
NG014828,0
NG014829,0
NG015820,0
NG015821,0
NG015822,0
NG015823,0
NG015824,0
NG015825,0
NG015826,0
NG015827,0
NG015828,0
NG015829,0
NG016820,0
NG016821,0
NG016822,0
NG016823,0
NG016824,0
NG016825,0
NG016826,0
NG016827,0
NG016828,0
NG016829,0
NG017820,0
NG017821,0
NG017822,0
NG017823,0
NG017824,0
NG017825,0
NG017826,0
NG017827,0
NG017828,0
NG017829,0
NG018820,0
NG018821,0
NG018822,0
NG018823,0
NG018824,0
NG018825,0
NG018826,0
NG018827,0
NG018828,0
NG018829,0
NG019820,0
NG019821,0
NG019822,0
NG019823,0
NG019824,0
NG019825,0
NG019826,0
NG019827,0
NG019828,0
NG019829,0
NG0183,0
NG08C,0+110
NG0084,0+110
NG000840,0
NG000841,0+110
NG000842,0+110
NG000843,0+110
NG000844,0
NG000845,0
NG000846,0
NG000847,0
NG000848,0
NG000849,0
NG001840,0
NG001841,0+110
NG001842,0+110
NG001843,0+110
NG001844,0
NG001845,0
NG001846,0
NG001847,0
NG001848,0
NG001849,0
NG002840,0
NG002841,0
NG002842,0
NG002843,0
NG002844,0
NG002845,0
NG002846,0
NG002847,0
NG002848,0
NG002849,0
NG003840,0
NG003841,0
NG003842,0
NG003843,0
NG003844,0
NG003845,0
NG003846,0
NG003847,0
NG003848,0
NG003849,0
NG004840,0
NG004841,0
NG004842,0
NG004843,0
NG004844,0
NG004845,0
NG004846,0
NG004847,0
NG004848,0
NG004849,0
NG005840,0
NG005841,0
NG005842,0
NG005843,0
NG005844,0
NG005845,0
NG005846,0
NG005847,0
NG005848,0
NG005849,0
NG006840,0
NG006841,0
NG006842,0
NG006843,0
NG006844,0
NG006845,0
NG006846,0
NG006847,0
NG006848,0
NG006849,0
NG007840,0
NG007841,0
NG007842,0
NG007843,0
NG007844,0
NG007845,0
NG007846,0
NG007847,0
NG007848,0
NG007849,0
NG008840,0
NG008841,0
