NX,0+70+71+72+73+74+75
NX041492,0
NX041493,0
NX041494,0
NX041495,0
NX041496,0+74
NX041497,0+74
NX041498,74
NX041499,74
NX042490,0
NX042491,0
NX042492,0
NX042493,0
NX042494,0
NX042495,0
NX042496,0+74
NX042497,0+74
NX042498,74
NX042499,74
NX043490,0
NX043491,0
NX043492,0
NX043493,0
NX043494,0
NX043495,0+74
NX043496,0+74
NX043497,74
NX043498,74
NX043499,74
NX044490,0
NX044491,0
NX044492,0
NX044493,0+74
NX044494,0+74
NX044495,0+74
NX044496,74
NX044497,74
NX044498,74
NX044499,74
NX045490,0+74
NX045491,0+74
NX045492,0+74
NX045493,0+74
NX045494,74
NX045495,74
NX045496,74
NX045497,74
NX045498,74
NX045499,74
NX046490,74
NX046491,0+74
NX046492,0+74
NX046493,74
NX046494,74
NX046495,74
NX046496,74
NX046497,74
NX046498,74
NX046499,74
NX047490,74
NX047491,74
NX047492,74
NX047493,74
NX047494,74
NX047495,74
NX047496,74
NX047497,74
NX047498,74
NX047499,74
NX048490,74
NX048491,74
NX048492,74
NX048493,74
NX048494,74
NX048495,74
NX048496,74
NX048497,74
NX048498,74
NX048499,74
NX049490,74
NX049491,74
NX049492,74
NX049493,74
NX049494,74
NX049495,74
NX049496,74
NX049497,74
NX049498,74
NX049499,74
NX0548,0+74
NX050480,0
NX050481,0+74
NX050482,74
NX050483,74
NX050484,74
NX050485,74
NX050486,74
NX050487,74
NX050488,74
NX050489,74
NX051480,0+74
NX051481,0+74
NX051482,74
NX051483,74
NX051484,74
NX051485,74
NX051486,74
NX051487,74
NX051488,74
NX051489,74
NX052480,0+74
NX052481,74
NX052482,74
NX052483,74
NX052484,74
NX052485,74
NX052486,74
NX052487,74
NX052488,74
NX052489,74
NX053480,74
NX053481,74
NX053482,74
NX053483,74
NX053484,74
NX053485,74
NX053486,74
NX053487,74
NX053488,74
NX053489,74
NX054480,74
NX054481,74
NX054482,74
NX054483,74
NX054484,74
NX054485,74
NX054486,74
NX054487,74
NX054488,74
NX054489,74
NX055480,74
NX055481,74
NX055482,74
NX055483,74
NX055484,74
NX055485,74
NX055486,74
NX055487,74
NX055488,74
NX055489,74
NX056480,74
NX056481,74
NX056482,74
NX056483,74
NX056484,74
NX056485,74
NX056486,74
NX056487,74
NX056488,74
NX056489,74
NX057480,74
NX057481,74
NX057482,74
NX057483,74
NX057484,74
NX057485,74
NX057486,74
NX057487,74
NX057488,74
NX057489,74
NX058480,74
NX058481,74
NX058482,74
NX058483,74
NX058484,74
NX058485,74
NX058486,74
NX058487,74
NX058488,74
NX058489,74
NX059480,74
NX059481,74
NX059482,74
NX059483,74
NX059484,74
NX059485,74
NX059486,74
NX059487,74
NX059488,74
NX059489,74
NX0549,74
NX04Q,0+74
