TL,0+18+19+20+21+24+26+28+29+30+31+32
TL009133,24
TL009134,24
TL009135,24
TL009136,24
TL009137,20+24
TL009138,20+24
TL009139,20
TL0112,20+24
TL010120,24
TL010121,24
TL010122,24
TL010123,24
TL010124,24
TL010125,24
TL010126,24
TL010127,24
TL010128,24
TL010129,24
TL011120,24
TL011121,24
TL011122,24
TL011123,24
TL011124,24
TL011125,24
TL011126,24
TL011127,24
TL011128,24
TL011129,24
TL012120,24
TL012121,24
TL012122,24
TL012123,24
TL012124,24
TL012125,24
TL012126,24
TL012127,24
TL012128,24
TL012129,24
TL013120,24
TL013121,24
TL013122,24
TL013123,24
TL013124,24
TL013125,24
TL013126,24
TL013127,24
TL013128,24
TL013129,24
TL014120,24
TL014121,24
TL014122,24
TL014123,24
TL014124,24
TL014125,24
TL014126,24
TL014127,24
TL014128,24
TL014129,24
TL015120,24
TL015121,24
TL015122,24
TL015123,24
TL015124,24
TL015125,24
TL015126,24
TL015127,24
TL015128,24
TL015129,24
TL016120,24
TL016121,24
TL016122,24
TL016123,24
TL016124,24
TL016125,24
TL016126,24
TL016127,24
TL016128,20+24
TL016129,24
TL017120,24
TL017121,24
TL017122,24
TL017123,24
TL017124,24
TL017125,24
TL017126,24
TL017127,20+24
TL017128,20+24
TL017129,20+24
TL018120,24
TL018121,24
TL018122,24
TL018123,24
TL018124,24
TL018125,24
TL018126,20+24
TL018127,20+24
TL018128,20+24
TL018129,20+24
TL019120,24
TL019121,24
TL019122,24
TL019123,24
TL019124,24
TL019125,20+24
TL019126,20+24
TL019127,20
TL019128,20
TL019129,20
TL0113,20+24
TL010130,24
TL010131,24
TL010132,24
TL010133,24
TL010134,24
TL010135,20+24
TL010136,20+24
TL010137,20+24
TL010138,20
TL010139,20
TL011130,24
TL011131,24
TL011132,24
TL011133,20+24
TL011134,20+24
TL011135,20+24
TL011136,20
TL011137,20
TL011138,20
TL011139,20
TL012130,24
TL012131,24
TL012132,20+24
TL012133,20+24
TL012134,20
TL012135,20
TL012136,20
TL012137,20
TL012138,20
TL012139,20
TL013130,24
TL013131,24
TL013132,20+24
TL013133,20+24
TL013134,20
TL013135,20
TL013136,20
TL013137,20
TL013138,20
TL013139,20
TL014130,24
TL014131,20+24
TL014132,20+24
TL014133,20+24
TL014134,20
TL014135,20
TL014136,20
TL014137,20
TL014138,20
TL014139,20
TL015130,24
TL015131,20+24
TL015132,20
TL015133,20
TL015134,20
TL015135,20
TL015136,20
TL015137,20
TL015138,20
TL015139,20
TL016130,20+24
TL016131,20+24
TL016132,20
TL016133,20
TL016134,20
TL016135,20
TL016136,20
TL016137,20
TL016138,20
TL016139,20
TL017130,20+24
TL017131,20
TL017132,20
TL017133,20
TL017134,20
TL017135,20
TL017136,20
TL017137,20
TL017138,20
TL017139,20
TL018130,20
TL018131,20
TL018132,20
TL018133,20
TL018134,20
TL018135,20
TL018136,20
TL018137,20
TL018138,20
TL018139,20
TL019130,20
TL019131,20
TL019132,20
TL019133,20
TL019134,20
TL019135,20
TL019136,20
TL019137,20
TL019138,20
TL019139,20
TL01C,20+24+30
TL0014,20+24
TL000140,20
TL000141,20
TL000142,20
TL000143,20
TL000144,20
TL000145,20
TL000146,20
TL000147,20
TL000148,20
TL000149,20
TL001140,20
TL001141,20
TL001142,20
TL001143,20
TL001144,20
TL001145,20
TL001146,20
TL001147,20
TL001148,20
TL001149,20
TL002140,20
TL002141,20
TL002142,20
TL002143,20
TL002144,20
TL002145,20
TL002146,20
TL002147,20
TL002148,20
TL002149,20
TL003140,20
TL003141,20
TL003142,20
TL003143,20
TL003144,20
TL003145,20
TL003146,20
TL003147,20
TL003148,20
TL003149,20
TL004140,20+24
TL004141,20
TL004142,20
TL004143,20
TL004144,20
TL004145,20
TL004146,20
TL004147,20
TL004148,20
TL004149,20+24
TL005140,20
TL005141,20
TL005142,20
TL005143,20
TL005144,20
TL005145,20
TL005146,20
TL005147,20
TL005148,20
TL005149,20
TL006140,20
TL006141,20
TL006142,20
TL006143,20
TL006144,20
TL006145,20
TL006146,20
TL006147,20
TL006148,20
TL006149,20
TL007140,20
TL007141,20
TL007142,20
TL007143,20
TL007144,20
TL007145,20
TL007146,20
TL007147,20
TL007148,20
TL007149,20
TL008140,20
TL008141,20
TL008142,20
TL008143,20
TL008144,20
TL008145,20
TL008146,20
TL008147,20
TL008148,20
TL008149,20
TL009140,20
TL009141,20
TL009142,20
TL009143,20
TL009144,20
TL009145,20
TL009146,20
TL009147,20
TL009148,20
TL009149,20
TL0015,20+24+30
TL000150,20
TL000151,20
TL000152,20
TL000153,20+24
TL000154,24
TL000155,24
TL000156,24
TL000157,24
TL000158,24
TL000159,24
TL001150,20
TL001151,20
TL001152,20+24
TL001153,20+24
TL001154,24
TL001155,24
TL001156,24
TL001157,24
TL001158,24
TL001159,24
TL002150,20
TL002151,20+24
TL002152,20+24
TL002153,24
TL002154,24
TL002155,24
TL002156,24
TL002157,24
TL002158,24
TL002159,24
TL003150,20+24
