NT,0+67+68+72+77+78+79+80+81+82+83+84+85+87
NT00W,72
NT00X,72
NT00Y,72
NT00Z,72
NT01,72+77+78
NT01SW,72+77+78
NT01NW,77+78
NT01SE,72+77+78
NT01NE,78
NT01A,77
NT01B,77
NT01C,77
NT01D,77
NT01E,77
NT01F,72+77
NT0210,72+77
NT020100,77
NT020101,77
NT020102,77
NT020103,77
NT020104,77
NT020105,77
NT020106,77
NT020107,77
NT020108,77
NT020109,77
NT021100,77
NT021101,77
NT021102,77
NT021103,77
NT021104,77
NT021105,77
NT021106,77
NT021107,77
NT021108,77
NT021109,77
NT022100,77
NT022101,77
NT022102,77
NT022103,77
NT022104,77
NT022105,77
NT022106,77
NT022107,77
NT022108,77
NT022109,77
NT023100,77
NT023101,77
NT023102,77
NT023103,77
NT023104,77
NT023105,77
NT023106,77
NT023107,77
NT023108,77
NT023109,77
NT024100,77
NT024101,77
NT024102,77
NT024103,77
NT024104,77
NT024105,77
NT024106,77
NT024107,77
NT024108,77
NT024109,77
NT025100,72+77
NT025101,72+77
NT025102,72+77
NT025103,72+77
NT025104,77
NT025105,77
NT025106,77
NT025107,77
NT025108,77
NT025109,77
NT026100,72+77
NT026101,72
NT026102,72
NT026103,72+77
NT026104,72+77
NT026105,77
NT026106,77
NT026107,77
NT026108,77
NT026109,77
NT027100,72
NT027101,72
NT027102,72
NT027103,72
NT027104,72+77
NT027105,72+77
NT027106,77
NT027107,77
NT027108,77
NT027109,77
NT028100,72
NT028101,72
NT028102,72
NT028103,72
NT028104,72
NT028105,72+77
NT028106,72+77
NT028107,77
NT028108,77
NT028109,77
NT029100,72
NT029101,72
NT029102,72
NT029103,72
NT029104,72
NT029105,72
NT029106,72+77
NT029107,72+77
NT029108,77
NT029109,77
NT0211,77
NT0310,72+77
NT030100,72
NT030101,72
NT030102,72
NT030103,72
NT030104,72
NT030105,72
NT030106,72
NT030107,72+77
NT030108,72+77
NT030109,72+77
NT031100,72
NT031101,72
NT031102,72
NT031103,72
NT031104,72
NT031105,72
NT031106,72
NT031107,72
NT031108,72
NT031109,72
NT032100,72
NT032101,72
NT032102,72
NT032103,72
NT032104,72
NT032105,72
NT032106,72
NT032107,72
NT032108,72
NT032109,72
NT033100,72
NT033101,72
NT033102,72
NT033103,72
NT033104,72
NT033105,72
NT033106,72
NT033107,72
NT033108,72
NT033109,72+77
NT034100,72
NT034101,72
NT034102,72
NT034103,72
NT034104,72
NT034105,72
NT034106,72
NT034107,72
NT034108,72
NT034109,72+77
NT035100,72
NT035101,72
NT035102,72
NT035103,72
NT035104,72
NT035105,72
NT035106,72
NT035107,72
NT035108,72
NT035109,72+77
NT036100,72
NT036101,72
NT036102,72
NT036103,72
NT036104,72
NT036105,72
NT036106,72
NT036107,72
NT036108,72
NT036109,72+77
NT037100,72
NT037101,72
NT037102,72
NT037103,72
NT037104,72
NT037105,72
NT037106,72
NT037107,72
NT037108,72
NT037109,72+77
NT038100,72
NT038101,72
NT038102,72
NT038103,72
NT038104,72
NT038105,72
NT038106,72
NT038107,72
NT038108,72
NT038109,72+77
NT039100,72
NT039101,72
NT039102,72
NT039103,72
NT039104,72
NT039105,72
NT039106,72
NT039107,72
NT039108,72
NT039109,72+77
NT0311,72+77
NT030110,72+77
NT030111,77
NT030112,77
NT030113,77
NT030114,77
NT030115,77
NT030116,77
NT030117,77
NT030118,77
NT030119,77
NT031110,72+77
NT031111,77
NT031112,77
NT031113,77
NT031114,77
NT031115,77
NT031116,77
NT031117,77
NT031118,77
NT031119,77
NT032110,72+77
NT032111,77
NT032112,77
NT032113,77
NT032114,77
NT032115,77
NT032116,77
NT032117,77
NT032118,77
NT032119,77
NT033110,72+77
NT033111,77
NT033112,77
NT033113,77
NT033114,77
NT033115,77
NT033116,77
NT033117,77
NT033118,77
NT033119,77
NT034110,77
NT034111,77
NT034112,77
NT034113,77
NT034114,77
NT034115,77
NT034116,77
NT034117,77
NT034118,77
NT034119,77
NT035110,77
NT035111,77
NT035112,77
NT035113,77
NT035114,77
NT035115,77
NT035116,77
NT035117,77
NT035118,77
NT035119,77
NT036110,77
NT036111,77
NT036112,77
NT036113,77
NT036114,77
NT036115,77
NT036116,77
NT036117,77
NT036118,77
NT036119,77
NT037110,77
NT037111,77
NT037112,77
NT037113,77
NT037114,77
NT037115,77
NT037116,77
NT037117,77
NT037118,77
NT037119,77
NT038110,77
NT038111,77
NT038112,77
NT038113,77
NT038114,77
NT038115,77
NT038116,77
NT038117,77
NT038118,77
NT038119,77
NT039110,77
NT039111,77
NT039112,77
NT039113,77
NT039114,77
NT039115,77
NT039116,77
NT039117,77
NT039118,77
NT039119,77
NT01G,77
NT01H,77+78
NT0214,77
NT0215,77
NT0314,77
NT0315,77+78
NT030150,77
NT030151,77
NT030152,77
NT030153,77
NT030154,77
NT030155,77
NT030156,77
NT030157,77
NT030158,77
NT030159,77
NT031150,77
NT031151,77
NT031152,77
NT031153,77
NT031154,77
NT031155,77
NT031156,77
NT031157,77
NT031158,77
NT031159,77
NT032150,77
NT032151,77
NT032152,77
NT032153,77
NT032154,77
NT032155,77
NT032156,77
NT032157,77
NT032158,77
NT032159,77
NT033150,77
NT033151,77
NT033152,77
NT033153,77
NT033154,77
NT033155,77
NT033156,77
NT033157,77
NT033158,77
NT033159,77
NT034150,77
NT034151,77
NT034152,77
NT034153,77
NT034154,77
NT034155,77
NT034156,77
NT034157,77
NT034158,77
NT034159,77
NT035150,77
NT035151,77
NT035152,77
NT035153,77
NT035154,77
NT035155,77
NT035156,77
NT035157,77
NT035158,77
NT035159,77
NT036150,77
NT036151,77
NT036152,77
NT036153,77
NT036154,77
NT036155,77
NT036156,77
NT036157,77
NT036158,77+78
NT036159,77+78
NT037150,77
NT037151,77
NT037152,77
NT037153,77
NT037154,77
NT037155,77
NT037156,77
NT037157,77
NT037158,77+78
NT037159,78
NT038150,77
NT038151,77
NT038152,77
NT038153,77
NT038154,77
NT038155,77
NT038156,77
NT038157,77+78
NT038158,77+78
NT038159,78
NT039150,77
NT039151,77
NT039152,77
NT039153,77
NT039154,77
NT039155,77+78
NT039156,77+78
NT039157,77+78
NT039158,78
NT039159,78
NT01I,77+78
NT0216,77+78
NT020160,77
NT020161,77
NT020162,77
NT020163,77
NT020164,77
NT020165,77
NT020166,77
NT020167,77
NT020168,77
NT020169,77
NT021160,77
NT021161,77
NT021162,77
NT021163,77
NT021164,77
NT021165,77
NT021166,77
NT021167,77
NT021168,77
NT021169,77
NT022160,77
NT022161,77
NT022162,77
NT022163,77
NT022164,77
NT022165,77
NT022166,77
NT022167,77
NT022168,77
NT022169,77
NT023160,77
NT023161,77
NT023162,77
NT023163,77
NT023164,77
NT023165,77
NT023166,77
NT023167,77
NT023168,77
NT023169,77
NT024160,77
NT024161,77
NT024162,77
NT024163,77
NT024164,77
NT024165,77
NT024166,77
NT024167,77
NT024168,77
NT024169,77
NT025160,77
NT025161,77
NT025162,77
NT025163,77
NT025164,77
NT025165,77
NT025166,77
NT025167,77
NT025168,77
NT025169,77
NT026160,77
NT026161,77
NT026162,77
NT026163,77
NT026164,77
NT026165,77
NT026166,77
NT026167,77
NT026168,77
NT026169,77
NT027160,77
NT027161,77
NT027162,77
NT027163,77
NT027164,77
NT027165,77
NT027166,77
NT027167,77
NT027168,77
NT027169,77+78
NT028160,77
NT028161,77
NT028162,77
NT028163,77
NT028164,77
NT028165,77
NT028166,77
NT028167,77+78
NT028168,77+78
NT028169,77+78
NT029160,77
NT029161,77
NT029162,77
NT029163,77
NT029164,77
NT029165,77
NT029166,77+78
NT029167,77+78
NT029168,78
NT029169,78
NT0217,77+78
NT020170,77
NT020171,77
NT020172,77
NT020173,77
NT020174,77
NT020175,77
NT020176,77
NT020177,77
NT020178,77
NT020179,77
NT021170,77
NT021171,77
NT021172,77
NT021173,77
NT021174,77
NT021175,77
NT021176,77
NT021177,77
NT021178,77
NT021179,77
NT022170,77
NT022171,77
NT022172,77
NT022173,77
NT022174,77
NT022175,77
NT022176,77
NT022177,77
NT022178,77
NT022179,77
NT023170,77
NT023171,77
NT023172,77
NT023173,77
NT023174,77
NT023175,77
NT023176,77
NT023177,77
NT023178,77
NT023179,77
NT024170,77
NT024171,77
NT024172,77
NT024173,77
NT024174,77
NT024175,77
NT024176,77
NT024177,77
NT024178,77
NT024179,77
NT025170,77
NT025171,77
NT025172,77
NT025173,77
NT025174,77
NT025175,77
NT025176,77
NT025177,77
NT025178,77
NT025179,77
NT026170,77
NT026171,77
NT026172,77+78
NT026173,77+78
NT026174,77+78
NT026175,77+78
