TG,0+25+27+28
TG01D,28
TG01E,28
TG01F,27+28
TG0210,27+28
TG020100,28
TG020101,28
TG020102,28
TG020103,28
TG020104,28
TG020105,28
TG020106,28
TG020107,28
TG020108,28
TG020109,28
TG021100,28
TG021101,28
TG021102,28
TG021103,28
TG021104,28
TG021105,28
TG021106,28
TG021107,28
TG021108,28
TG021109,28
TG022100,28
TG022101,28
TG022102,28
TG022103,28
TG022104,28
TG022105,28
TG022106,28
TG022107,28
TG022108,28
TG022109,28
TG023100,28
TG023101,28
TG023102,28
TG023103,28
TG023104,28
TG023105,28
TG023106,28
TG023107,28
TG023108,28
TG023109,28
TG024100,28
TG024101,28
TG024102,28
TG024103,28
TG024104,28
TG024105,28
TG024106,28
TG024107,28
TG024108,28
TG024109,28
TG025100,28
TG025101,28
TG025102,28
TG025103,28
TG025104,28
TG025105,28
TG025106,28
TG025107,28
TG025108,28
TG025109,28
TG026100,28
TG026101,28
TG026102,28
TG026103,28
TG026104,28
TG026105,28
TG026106,28
TG026107,28
TG026108,28
TG026109,28
TG027100,28
TG027101,28
TG027102,28
TG027103,28
TG027104,28
TG027105,28
TG027106,28
TG027107,28
TG027108,28
TG027109,28
TG028100,28
TG028101,27+28
TG028102,27+28
TG028103,27+28
TG028104,27+28
TG028105,27+28
TG028106,27+28
TG028107,27+28
TG028108,27+28
TG028109,27+28
TG029100,27+28
TG029101,27+28
TG029102,27
TG029103,27
TG029104,27
TG029105,27
TG029106,27
TG029107,27
TG029108,27
TG029109,27
TG0211,27+28
TG020110,28
TG020111,28
TG020112,28
TG020113,28
TG020114,28
TG020115,28
TG020116,28
TG020117,28
TG020118,28
TG020119,28
TG021110,28
TG021111,28
TG021112,28
TG021113,28
TG021114,28
TG021115,28
TG021116,28
TG021117,28
TG021118,28
TG021119,28
TG022110,28
TG022111,28
TG022112,28
TG022113,28
TG022114,28
TG022115,28
TG022116,28
TG022117,28
TG022118,28
TG022119,28
TG023110,28
TG023111,28
TG023112,28
TG023113,28
TG023114,28
TG023115,28
TG023116,28
TG023117,28
TG023118,28
TG023119,28
TG024110,28
TG024111,28
TG024112,28
TG024113,28
TG024114,28
TG024115,28
TG024116,28
TG024117,28
TG024118,28
TG024119,28
TG025110,28
TG025111,28
TG025112,28
TG025113,28
TG025114,28
TG025115,28
TG025116,28
TG025117,28
TG025118,28
TG025119,28
TG026110,28
TG026111,28
TG026112,28
TG026113,28
TG026114,28
TG026115,28
TG026116,28
TG026117,28
TG026118,28
TG026119,28
TG027110,28
TG027111,28
TG027112,28
TG027113,28
TG027114,28
TG027115,28
TG027116,28
TG027117,28
TG027118,28
TG027119,28
TG028110,27+28
TG028111,27+28
TG028112,27+28
TG028113,27+28
TG028114,27+28
TG028115,27+28
TG028116,27+28
TG028117,27+28
TG028118,27+28
TG028119,27+28
TG029110,27
TG029111,27
TG029112,27
TG029113,27
TG029114,27
TG029115,27
TG029116,27
TG029117,27
TG029118,27
TG029119,27
TG0310,27
TG0311,27
TG01G,27+28
TG0212,27+28
TG020120,28
TG020121,28
TG020122,28
TG020123,28
TG020124,28
TG020125,28
TG020126,28
TG020127,28
TG020128,28
TG020129,28
TG021120,28
TG021121,28
TG021122,28
TG021123,28
TG021124,28
TG021125,28
TG021126,28
TG021127,28
TG021128,28
TG021129,28
TG022120,28
TG022121,28
TG022122,28
TG022123,28
TG022124,28
TG022125,28
TG022126,28
TG022127,28
TG022128,28
TG022129,28
TG023120,28
TG023121,28
TG023122,28
TG023123,28
TG023124,28
TG023125,28
TG023126,28
TG023127,28
TG023128,28
TG023129,28
TG024120,28
TG024121,28
TG024122,28
TG024123,28
TG024124,28
TG024125,28
TG024126,28
TG024127,28
TG024128,28
TG024129,28
TG025120,28
TG025121,28
TG025122,28
TG025123,28
TG025124,28
TG025125,28
TG025126,28
TG025127,28
TG025128,28
TG025129,28
TG026120,28
TG026121,28
TG026122,28
TG026123,28
TG026124,28
TG026125,28
TG026126,28
TG026127,28
TG026128,28
TG026129,28
TG027120,28
TG027121,28
TG027122,28
TG027123,28
TG027124,27+28
TG027125,27+28
TG027126,27+28
TG027127,27+28
TG027128,27+28
TG027129,27+28
TG028120,27+28
TG028121,27+28
TG028122,27+28
TG028123,27+28
TG028124,27+28
TG028125,27
TG028126,27
TG028127,27
TG028128,27
TG028129,27
TG029120,27
TG029121,27
TG029122,27
TG029123,27
TG029124,27
TG029125,27
TG029126,27
TG029127,27
TG029128,27
TG029129,27
TG0213,27+28
TG020130,28
TG020131,28
TG020132,28
TG020133,28
TG020134,28
TG020135,28
TG020136,28
TG020137,28
TG020138,28
TG020139,28
TG021130,28
TG021131,28
TG021132,28
TG021133,28
TG021134,28
TG021135,28
TG021136,28
TG021137,28
TG021138,28
TG021139,28
TG022130,28
TG022131,28
TG022132,28
TG022133,28
TG022134,28
TG022135,28
TG022136,28
TG022137,28
TG022138,28
TG022139,28
TG023130,28
TG023131,28
TG023132,28
TG023133,28
TG023134,28
TG023135,28
TG023136,28
TG023137,28
TG023138,28
TG023139,28
TG024130,28
TG024131,28
TG024132,28
TG024133,28
TG024134,28
TG024135,28
TG024136,28
TG024137,28
TG024138,28
TG024139,28
TG025130,28
TG025131,28
TG025132,28
TG025133,28
TG025134,28
TG025135,28
TG025136,28
TG025137,28
TG025138,28
TG025139,28
TG026130,28
TG026131,28
TG026132,28
TG026133,28
TG026134,28
TG026135,28
TG026136,28
TG026137,28
TG026138,28
TG026139,28
TG027130,27+28
TG027131,27+28
TG027132,27+28
TG027133,27+28
TG027134,27+28
TG027135,27+28
TG027136,27+28
TG027137,27+28
TG027138,27+28
TG027139,27+28
TG028130,27
TG028131,27
TG028132,27
TG028133,27
TG028134,27
TG028135,27
TG028136,27
TG028137,27
TG028138,27
TG028139,27
TG029130,27
TG029131,27
TG029132,27
TG029133,27
TG029134,27
TG029135,27
TG029136,27
TG029137,27
TG029138,27
TG029139,27
TG0312,27
TG0313,27
TG01H,27+28
TG0214,27+28
TG020140,28
TG020141,28
TG020142,28
TG020143,28
TG020144,28
TG020145,28
TG020146,28
TG020147,28
TG020148,28
TG020149,28
TG021140,28
TG021141,28
TG021142,28
TG021143,28
TG021144,28
TG021145,28
TG021146,28
TG021147,28
TG021148,28
TG021149,28
TG022140,28
TG022141,28
TG022142,28
TG022143,28
TG022144,28
TG022145,28
TG022146,28
TG022147,28
TG022148,28
TG022149,28
TG023140,28
TG023141,28
TG023142,28
TG023143,28
TG023144,28
TG023145,28
TG023146,28
TG023147,28
TG023148,28
TG023149,28
TG024140,28
TG024141,28
TG024142,28
TG024143,28
TG024144,28
TG024145,28
TG024146,28
TG024147,28
TG024148,28
TG024149,28
TG025140,28
TG025141,28
TG025142,28
TG025143,28
TG025144,28
TG025145,28
TG025146,28
TG025147,28
TG025148,28
TG025149,28
TG026140,28
TG026141,28
TG026142,28
TG026143,28
TG026144,28
TG026145,28
TG026146,28
TG026147,28
TG026148,28
TG026149,28
TG027140,27+28
TG027141,27+28
TG027142,27+28
TG027143,27+28
TG027144,27+28
TG027145,27+28
TG027146,27+28
TG027147,27+28
TG027148,27+28
TG027149,27+28
TG028140,27
TG028141,27
TG028142,27
TG028143,27
TG028144,27
TG028145,27
TG028146,27
TG028147,27
TG028148,27
TG028149,27
TG029140,27
TG029141,27
TG029142,27
TG029143,27
TG029144,27
TG029145,27
TG029146,27
TG029147,27
TG029148,27
TG029149,27
TG0215,27+28
TG020150,28
TG020151,28
TG020152,28
TG020153,28
TG020154,28
TG020155,28
TG020156,28
TG020157,28
TG020158,28
TG020159,28
TG021150,28
TG021151,28
TG021152,28
TG021153,28
TG021154,28
TG021155,28
TG021156,28
TG021157,28
TG021158,28
TG021159,28
TG022150,28
TG022151,28
