NY,0+65+66+67+68+69+70+72+73+80
NY00,0+70
NY00SW,0+70
NY00NW,0+70
NY010337,0
NY010338,0
NY010339,0
NY011330,70
NY011331,70
NY011332,70
NY011333,0+70
NY011334,0+70
NY011335,0
NY011336,0
NY011337,0
NY011338,0
NY011339,0
NY012330,70
NY012331,70
NY012332,70
NY012333,70
NY012334,0+70
NY012335,0+70
NY012336,0
NY012337,0
NY012338,0
NY012339,0
NY013330,70
NY013331,70
NY013332,70
NY013333,70
NY013334,70
NY013335,70
NY013336,0+70
NY013337,0+70
NY013338,0
NY013339,0
NY014330,70
NY014331,70
NY014332,70
NY014333,70
NY014334,70
NY014335,70
NY014336,70
NY014337,0+70
NY014338,0+70
NY014339,0+70
NY015330,70
NY015331,70
NY015332,70
NY015333,70
NY015334,70
NY015335,70
NY015336,70
NY015337,70
NY015338,70
NY015339,70
NY016330,70
NY016331,70
NY016332,70
NY016333,70
NY016334,70
NY016335,70
NY016336,70
NY016337,70
NY016338,70
NY016339,70
NY017330,70
NY017331,70
NY017332,70
NY017333,70
NY017334,70
NY017335,70
NY017336,70
NY017337,70
NY017338,70
NY017339,70
NY018330,70
NY018331,70
NY018332,70
NY018333,70
NY018334,70
NY018335,70
NY018336,70
NY018337,70
NY018338,70
NY018339,70
NY019330,70
NY019331,70
NY019332,70
NY019333,70
NY019334,70
NY019335,70
NY019336,70
NY019337,70
NY019338,70
NY019339,70
NY03C,0+70
NY0034,0
NY0035,0
NY0134,0+70
NY010340,0
NY010341,0
NY010342,0
NY010343,0
NY010344,0
NY010345,0
NY010346,0
NY010347,0
NY010348,0
NY010349,0
NY011340,0
NY011341,0
NY011342,0
NY011343,0
NY011344,0
NY011345,0
NY011346,0
NY011347,0
NY011348,0
NY011349,0
NY012340,0
NY012341,0
NY012342,0
NY012343,0
NY012344,0
NY012345,0
NY012346,0
NY012347,0
NY012348,0
NY012349,0
NY013340,0
NY013341,0
NY013342,0
NY013343,0
NY013344,0
NY013345,0
NY013346,0
NY013347,0
NY013348,0
NY013349,0
NY014340,0+70
NY014341,0
NY014342,0
NY014343,0
NY014344,0
NY014345,0
NY014346,0
NY014347,0
NY014348,0
NY014349,0
NY015340,0+70
NY015341,0+70
NY015342,0
NY015343,0
NY015344,0
NY015345,0
NY015346,0
NY015347,0
NY015348,0
NY015349,0
NY016340,0+70
NY016341,0+70
NY016342,0
NY016343,0
NY016344,0
NY016345,0
NY016346,0
NY016347,0
NY016348,0
NY016349,0
NY017340,70
NY017341,0+70
NY017342,0+70
NY017343,0+70
NY017344,0
NY017345,0
NY017346,0
NY017347,0
NY017348,0
NY017349,0
NY018340,70
NY018341,70
NY018342,70
NY018343,0+70
NY018344,0+70
NY018345,0
NY018346,0
NY018347,0
NY018348,0
NY018349,0
NY019340,70
NY019341,70
NY019342,70
NY019343,70
NY019344,0+70
NY019345,0+70
NY019346,0
NY019347,0
NY019348,0
NY019349,0
NY0135,0
NY03D,0
NY03E,0
NY03F,70
NY03G,70
NY03H,0+70
NY0234,0+70
NY020340,70
NY020341,70
NY020342,70
NY020343,70
NY020344,70
NY020345,0+70
NY020346,0+70
NY020347,0
NY020348,0
NY020349,0
NY021340,70
NY021341,70
NY021342,70
NY021343,70
NY021344,70
NY021345,70
NY021346,0+70
NY021347,0+70
NY021348,0+70
NY021349,0+70
NY022340,70
NY022341,70
NY022342,70
NY022343,70
NY022344,70
NY022345,70
NY022346,70
NY022347,70
NY022348,70
NY022349,0+70
NY023340,70
NY023341,70
NY023342,70
NY023343,70
NY023344,70
NY023345,70
NY023346,70
NY023347,70
NY023348,70
NY023349,70
NY024340,70
NY024341,70
NY024342,70
NY024343,70
NY024344,70
NY024345,70
NY024346,70
NY024347,70
NY024348,70
NY024349,70
NY025340,70
NY025341,70
NY025342,70
NY025343,70
NY025344,70
NY025345,70
NY025346,70
NY025347,70
NY025348,70
NY025349,70
NY026340,70
NY026341,70
NY026342,70
NY026343,70
NY026344,70
NY026345,70
NY026346,70
NY026347,70
NY026348,70
NY026349,70
NY027340,70
NY027341,70
NY027342,70
NY027343,70
NY027344,70
NY027345,70
NY027346,70
NY027347,70
NY027348,70
NY027349,70
NY028340,70
NY028341,70
NY028342,70
NY028343,70
NY028344,70
NY028345,70
NY028346,70
NY028347,70
NY028348,70
NY028349,70
NY029340,70
NY029341,70
NY029342,70
NY029343,70
NY029344,70
NY029345,70
NY029346,70
NY029347,70
NY029348,70
NY029349,70
NY0235,0+70
NY020350,0
NY020351,0
NY020352,0
NY020353,0
NY020354,0
NY020355,0
NY020356,0
NY020357,0
NY020358,0
NY020359,0
NY021350,0
NY021351,0
NY021352,0
NY021353,0
NY021354,0
NY021355,0
NY021356,0
NY021357,0
NY021358,0
NY021359,0
NY022350,0+70
NY022351,0+70
NY022352,0
NY022353,0
NY022354,0
NY022355,0
NY022356,0
NY022357,0
NY022358,0
NY022359,0
NY023350,70
NY023351,0+70
NY023352,0+70
NY023353,0+70
NY023354,0+70
NY023355,0+70
NY023356,0+70
NY023357,0+70
NY023358,0+70
NY023359,0
NY024350,70
NY024351,70
NY024352,70
NY024353,70
NY024354,70
NY024355,70
NY024356,70
NY024357,0+70
NY024358,0+70
NY024359,0+70
NY025350,70
NY025351,70
NY025352,70
NY025353,70
NY025354,70
NY025355,70
NY025356,70
NY025357,70
NY025358,70
NY025359,70
NY026350,70
NY026351,70
NY026352,70
NY026353,70
NY026354,70
NY026355,70
NY026356,70
NY026357,70
NY026358,70
NY026359,70
NY027350,70
NY027351,70
NY027352,70
NY027353,70
NY027354,70
NY027355,70
NY027356,70
NY027357,70
NY027358,70
NY027359,70
NY028350,70
NY028351,70
NY028352,70
NY028353,70
NY028354,70
NY028355,70
NY028356,70
NY028357,70
NY028358,70
NY028359,70
NY029350,70
NY029351,70
NY029352,70
NY029353,70
NY029354,70
NY029355,70
NY029356,70
NY029357,70
NY029358,70
NY029359,70
NY0334,70
NY0335,70
NY03I,0+70
NY0236,0+70
NY020360,0
NY020361,0
NY020362,0
NY020363,0
NY020364,0
NY020365,0
NY020366,0
NY020367,0
NY020368,0
NY020369,0
NY021360,0
NY021361,0
NY021362,0
NY021363,0
NY021364,0
NY021365,0
NY021366,0
NY021367,0
NY021368,0
NY021369,0
NY022360,0
NY022361,0
NY022362,0
NY022363,0
NY022364,0
NY022365,0
NY022366,0
NY022367,0
NY022368,0
NY022369,0
NY023360,0
NY023361,0
NY023362,0
NY023363,0
NY023364,0
NY023365,0
NY023366,0
NY023367,0
NY023368,0
NY023369,0
NY024360,0+70
NY024361,0
NY024362,0
NY024363,0
NY024364,0
NY024365,0
NY024366,0
NY024367,0
NY024368,0
NY024369,0
NY025360,0+70
NY025361,0+70
NY025362,0+70
NY025363,0+70
NY025364,0
NY025365,0
NY025366,0
NY025367,0
NY025368,0
NY025369,0
NY026360,70
NY026361,70
NY026362,70
NY026363,0+70
NY026364,0+70
NY026365,0+70
NY026366,0+70
NY026367,0+70
NY026368,0
NY026369,0
NY027360,70
NY027361,70
NY027362,70
NY027363,70
NY027364,70
NY027365,70
NY027366,70
NY027367,0+70
NY027368,0+70
NY027369,0+70
NY028360,70
NY028361,70
NY028362,70
NY028363,70
NY028364,70
NY028365,70
NY028366,70
NY028367,70
NY028368,0+70
NY028369,0+70
NY029360,70
NY029361,70
NY029362,70
NY029363,70
NY029364,70
NY029365,70
NY029366,70
NY029367,70
NY029368,0+70
NY029369,0+70
NY0237,0+70
NY020370,0
NY020371,0
NY020372,0
NY020373,0
NY020374,0
NY020375,0
NY020376,0
NY020377,0
NY020378,0
NY020379,0
NY021370,0
NY021371,0
NY021372,0
NY021373,0
NY021374,0
NY021375,0
NY021376,0
NY021377,0
NY021378,0
NY021379,0
NY022370,0
NY022371,0
NY022372,0
NY022373,0
NY022374,0
NY022375,0
NY022376,0
NY022377,0
NY022378,0
NY022379,0
NY023370,0
NY023371,0
NY023372,0
NY023373,0
NY023374,0
NY023375,0
NY023376,0
NY023377,0
NY023378,0
NY023379,0
NY024370,0
NY024371,0
NY024372,0
NY024373,0
NY024374,0
NY024375,0
NY024376,0
NY024377,0
NY024378,0
NY024379,0
NY025370,0
NY025371,0
NY025372,0
NY025373,0
NY025374,0
NY025375,0
NY025376,0
NY025377,0
NY025378,0
NY025379,0
NY026370,0
NY026371,0
NY026372,0
